ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category
1003,1003,6WZI,6WZI1003,ACTIVE,Pioneer Revolutionary Services,XCUT,2013-08-06,,,DMR,1
1050,1050,8RDD,8RDD1050,ACTIVE,,AEWK,2018-07-23,2021-08-11,,QMU,5
1035,1035,8CAD,8CAD1035,ACTIVE,Pioneer Progressive Solutions,ORAY,2004-06-01,,2002-09-07,DMR,3
1047,1047,4UPO,1LBY1022,HISTORY,Apex Precision Labs,SNLR,1998-09-15,2000-01-24,2013-11-13,CLL,4
1062,1062,4JZV,4JZV1062,ACTIVE,Infinite Advanced Enterprises,ORAY,1996-07-07,2019-10-19,,CLL,2
1020,1020,9HZI,9HZI1020,ACTIVE,Strategic Progressive Enterprises,SNLR,2016-11-01,2018-09-06,,CLL,2
1015,1015,3SVG,4MSS1031,ACTIVE,Swift Dynamic Labs,VBDL,2008-06-14,2021-07-02,,QMU,3
1067,1067,3JHB,3JHB1067,ACTIVE,Ultimate Future Co,ORAY,2002-07-16,2015-06-02,,CLL,3
1021,1021,8PFH,6XVN1072,ACTIVE,,IBDH,2009-04-16,2013-12-25,,DMR,5
1018,1018,1WIX,1WIX1018,CLOSED,Diverse Revolutionary Innovations,ORAY,1992-02-24,2015-09-05,2019-04-27,CLL,2
1080,1080,6YAX,8PFI1093,CLOSED,Creative Future Corp,SNLR,1995-11-12,2015-01-02,2019-07-31,CLL,5
1049,1049,4RDZ,4RDZ1049,ACTIVE,Mega Sustainable Group,NOZQ,2023-12-08,2023-12-09,,QMU,1
1075,1075,2VNH,2VNH1075,ACTIVE,Dynamic Creative Enterprises,VBDL,2012-01-20,2012-10-18,,DMR,3
1087,1087,7MYR,7MYR1087,ACTIVE,Prime Cutting-Edge Enterprises,XCUT,2005-02-21,2007-11-29,,CLL,0
1009,1009,0QJP,0QJP1009,HISTORY,,DYDB,2014-09-18,,2023-06-14,DMR,0
1053,1053,1FFY,1FFY1053,ACTIVE,Apex Dynamic Enterprises,DYDB,2011-07-07,2011-11-02,,DMR,3
1023,1023,5QGA,6UBN1077,ACTIVE,Epic Innovative Solutions,NOZQ,2003-04-11,2022-04-26,,DMR,2
1005,1005,3GZP,8PFI1093,ACTIVE,Diverse Forward Industries,IBDH,2008-10-11,2012-04-20,,DMR,3
1085,1085,4WVO,4WVO1085,ACTIVE,Elite Synergistic Enterprises,SNLR,2015-10-26,2018-11-24,,QMU,5
1073,1073,8RDG,8RDG1073,CLOSED,Brilliant Dynamic Enterprises,IBDH,2002-04-28,2016-08-01,2003-05-20,QMU,5
1036,1036,0LAG,0LAG1036,ACTIVE,,IBDH,2020-12-08,2022-07-24,,QMU,2
1048,1048,1HED,1HED1048,ACTIVE,Omega Dynamic Enterprises,XCUT,1991-09-07,2020-07-20,,QMU,1
1058,1058,7DIX,7DIX1058,ACTIVE,,VBDL,1996-08-11,2008-02-13,,QMU,5
1045,1045,7GFL,7GFL1045,ACTIVE,Strategic Innovative Solutions,IBDH,2002-02-19,2020-03-03,,QMU,1
1033,1033,6TBD,6TBD1033,ACTIVE,Global Synergistic Solutions,ORAY,2009-06-20,2013-04-13,,DMR,4
1027,1027,1YLM,1YLM1027,ACTIVE,Epic Evolve Consulting,EDSR,1999-08-18,2018-09-30,,QMU,0
1096,1096,9ABM,6XVN1072,ACTIVE,Apex Impactful Enterprises,XCUT,2005-05-18,2019-12-30,,CLL,0
1076,1076,7TKN,7TKN1076,HISTORY,Mega Forward Innovations,IBDH,1990-10-04,2006-03-06,2005-06-27,CLL,1
1097,1097,1QPO,1QPO1097,ACTIVE,Diverse Strategic Industries,ORAY,2003-02-04,2021-10-07,,DMR,1
1052,1052,3OUW,6XRT1007,CLOSED,Swift Progressive Solutions,DYDB,2003-05-31,2024-02-04,2024-02-05,QMU,0
1061,1061,8QDZ,8RDG1073,ACTIVE,Epic Forward Solutions,IBDH,1996-09-05,2006-02-08,,DMR,0
1064,1064,1HVE,1HVE1064,ACTIVE,Visionary Synergistic Networks,AEWK,2008-11-08,,,DMR,3
1069,1069,8APJ,8APJ1069,ACTIVE,Apex Future Enterprises,ORAY,2009-04-22,2011-09-04,,DMR,2
1026,1026,4QVS,8ITR1034,ACTIVE,Ultimate Cutting-Edge Technologies,VBDL,2013-02-12,2023-12-05,,CLL,2
1007,1007,6XRT,6XRT1007,HISTORY,Elite Transformative Solutions,DYDB,2012-02-13,2021-09-22,2022-03-19,CLL,2
1094,1094,6QES,6QES1094,CLOSED,Flexible Progressive Solutions,IBDH,2015-11-15,2020-10-20,2021-04-06,DMR,2
1063,1063,2BQG,2BQG1063,HISTORY,Acme Evolve Networks,XCUT,1990-03-21,2021-10-26,2023-10-07,DMR,1
1066,1066,6MIK,7BLU1054,ACTIVE,Mega Tech Enterprises,AEWK,1993-06-26,2012-06-09,,CLL,0
1039,1039,5KJL,5KJL1039,HISTORY,,SNLR,2020-01-12,2020-08-24,2021-09-21,CLL,3
1017,1017,4PED,2NGD1014,ACTIVE,Ultimate Precision Enterprises,AEWK,2016-01-16,2019-03-29,,DMR,5
1074,1074,1XVR,5REH1038,ACTIVE,Swift Ingenious Consulting,DYDB,2007-04-07,2007-09-09,,DMR,5
1070,1070,8KRU,8KRU1070,HISTORY,Fusion Inspire Systems,ORAY,2009-04-13,2016-09-16,2019-12-14,DMR,0
1037,1037,6NPR,6NPR1037,HISTORY,Creative Evolution Solutions,VBDL,2018-07-18,2022-04-02,2023-05-27,CLL,0
1082,1082,0NGE,0NGE1082,ACTIVE,Elite Forward Enterprises,XCUT,1991-09-05,2002-07-03,,QMU,1
1057,1057,9YZJ,5YVH1081,CLOSED,Innovative Evolve Group,DYDB,2019-08-25,2022-11-06,2023-07-08,CLL,4
1091,1091,7UKB,8ITR1034,HISTORY,Fusion Strive Dynamics,NOZQ,2014-03-24,2020-01-05,2023-05-15,CLL,4
1056,1056,5HFH,2NGD1014,CLOSED,Fusion Evolve Networks,DYDB,2011-02-04,2015-09-08,2020-01-11,QMU,0
1025,1025,8LAY,8LAY1025,ACTIVE,Fusion Smart Services,NOZQ,2021-07-13,2023-04-16,,DMR,0
1013,1013,5HDQ,5HDQ1013,ACTIVE,,XCUT,2011-05-14,2020-07-04,,QMU,1
1072,1072,6XVN,1QPO1097,ACTIVE,Fusion Strive Enterprises,EDSR,1998-07-12,2007-08-22,,DMR,0
1099,1099,5QVT,5QVT1099,ACTIVE,Prime Evolution Enterprises,EDSR,1992-07-16,2005-05-26,,QMU,0
1043,1043,5OJO,5OJO1043,CLOSED,Superior Global Enterprises,DYDB,2006-12-12,2021-04-27,2023-09-21,CLL,3
1029,1029,3FSN,1LBY1022,ACTIVE,Global Synergy Enterprises,DYDB,1997-06-20,2010-11-03,,QMU,2
1000,1000,6YOY,6YOY1000,ACTIVE,Pioneer Sustainable Enterprises,ORAY,1998-06-19,2017-06-04,,DMR,0
1055,1055,5ILS,5ILS1055,ACTIVE,Visionary Inspire Innovations,VBDL,1995-02-05,2013-10-16,,CLL,4
1077,1077,6UBN,6UBN1077,ACTIVE,Visionary Progressive Solutions,VBDL,2010-10-07,2017-11-18,,QMU,4
1078,1078,5VHD,5VHD1078,ACTIVE,Omega Creative Consulting,EDSR,1992-04-02,2019-03-03,,CLL,2
1011,1011,0RLT,8ITR1034,ACTIVE,Innovative First Enterprises,VBDL,2023-04-09,2023-10-29,,CLL,5
1054,1054,7BLU,7BLU1054,ACTIVE,Innovative Evolution Solutions,AEWK,1999-01-20,2020-01-23,,CLL,5
1093,1093,8PFI,8PFI1093,ACTIVE,Vibrant Innovative Enterprises,IBDH,2023-02-10,,,CLL,2
1008,1008,6PIG,6PIG1008,ACTIVE,Global Power Dynamics,ORAY,1994-05-19,1995-01-29,,QMU,4
1024,1024,0JTT,5ILS1055,ACTIVE,Dynamic Forward Enterprises,ORAY,1999-06-05,2003-11-09,,CLL,5
1089,1089,1VKC,1VKC1089,CLOSED,,XCUT,2017-01-23,2022-06-12,2021-02-16,CLL,3
1090,1090,5YLB,5YLB1090,ACTIVE,Dynamic Impactful Industries,IBDH,2018-10-18,2021-10-12,,QMU,4
1084,1084,5CAO,5YLB1090,HISTORY,Brilliant Global Enterprises,SNLR,2008-05-02,2021-04-02,2022-09-18,DMR,4
1012,1012,1SJM,0COV1006,ACTIVE,Visionary First Solutions,DYDB,1999-02-06,2000-02-11,,DMR,1
1044,1044,1VWE,1VWE1044,ACTIVE,Strategic Forward Services,EDSR,1996-03-19,2016-11-02,,DMR,5
1019,1019,7VNF,7VNF1019,CLOSED,Proactive Digital Enterprises,AEWK,2004-08-03,2019-07-01,2023-08-18,QMU,3
1092,1092,8QEH,8QEH1092,ACTIVE,Alpha Forward Ventures,IBDH,2006-06-10,2009-03-13,2007-12-29,DMR,2
1071,1071,4AWB,4AWB1071,HISTORY,Brilliant Vision Ventures,DYDB,2006-11-23,2018-09-20,2022-01-20,CLL,4
1086,1086,4NYN,4NYN1086,ACTIVE,Prime Synergistic Solutions,NOZQ,2012-02-09,2020-08-22,2015-12-27,QMU,0
1028,1028,8ORH,0COV1006,HISTORY,Mega Sustainable Innovations,SNLR,2023-06-20,2024-01-22,2024-02-01,CLL,1
1040,1040,0FWY,0FWY1040,ACTIVE,Strategic Inspire Enterprises,SNLR,2005-04-20,2020-10-17,,DMR,5
1068,1068,3JIW,5HFH1056,ACTIVE,,NOZQ,1993-01-18,,,QMU,4
1010,1010,5LXU,5LXU1010,ACTIVE,Alpha Future Technologies,ORAY,1991-02-19,2011-12-16,,QMU,4
1042,1042,3SOT,3SOT1042,ACTIVE,Superior Strategic Enterprises,SNLR,1990-05-21,2014-10-30,,CLL,3
1060,1060,7MHT,7MHT1060,ACTIVE,Visionary Dynamic Solutions,SNLR,2005-01-12,2017-07-03,2010-03-31,CLL,1
1088,1088,7YWV,7YWV1088,ACTIVE,Proactive Innovative Industries,XCUT,2018-01-16,2021-12-31,2018-12-02,CLL,1
1031,1031,4MSS,4MSS1031,ACTIVE,Proactive Synergy Networks,NOZQ,2007-06-20,2018-06-21,,QMU,5
1081,1081,5YVH,2NGD1014,ACTIVE,Brilliant Sustainable Enterprises,EDSR,2020-04-12,2022-01-02,,DMR,2
1046,1046,2QPQ,2QPQ1046,ACTIVE,Ultimate Ingenious Solutions,SNLR,2013-02-23,2023-08-09,,CLL,5
1034,1034,8ITR,8ITR1034,ACTIVE,Tech Strategic Co,ORAY,2013-07-30,,,QMU,2
