ID_Record,Log ID,Time Stamp,User ID,IP Address,Hostname,Log Level,Status,Reference ID,Source,Log Security,Log Security Description
1074,563970971,2015-10-10,U096045,77.222.223.110,nbrbsffv82zx4t.com,NORMAL,Queued,R003906,Database,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1070,473550154,2021-03-06,U088446,215.41.145.23,4narrsccwk65.com,NORMAL,Queued,R037680,Network,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1037,679632565,2014-09-29,U056109,14.198.142.17,pkxjfpchbm0.com,INFO,Pending,R050281,Database,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1082,264456442,2013-11-01,U044026,1.24.34.106,uacychtrq.com,NORMAL,Queued,R080606,Scheduler,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1057,340108272,2018-02-05,U069083,90.198.19.209,x5zjbeqj79.com,CRITICAL,Timed Out,R083385,Device,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1091,128763662,2018-09-13,U088797,113.218.76.116,3xqh104pz.com,NORMAL,In Progress,R017746,Security System,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1056,661003298,2023-11-06,U078732,108.184.89.219,36l31a3qy91u44k.com,INFO,Pending,R040110,External Service,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1025,749613897,2011-04-15,U044865,194.106.30.44,8uwfltxc.com,CRITICAL,Failed,R055006,External Service,Virus Detection,Records instances where a virus or malware is detected by the system's antivirus software.
1013,404054007,2012-04-25,U059352,68.245.128.160,5smksm94hyiu.com,NORMAL,Completed Successfully,R042582,System,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1072,987491455,2011-11-22,U037043,191.4.193.193,wtgw3hdsqagbh.com,CRITICAL,Failed,R098582,System,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1099,797788183,2018-01-29,U058479,120.19.105.38,m7rfii04759tv.com,WARNING,Warning,R031188,Application,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1043,460109819,2019-02-09,U084183,253.213.79.97,uat2lt4elwgp.com,NORMAL,Completed Successfully,R047270,Security System,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1029,505926260,2023-12-31,U084327,157.160.27.175,0ac6zyzjjl.com,ERROR,Timed Out,R051907,Device,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1000,450082463,2010-07-15,U025514,204.209.220.131,o4oqwfhw.com,CRITICAL,Warning,R029147,External Service,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1055,147726315,2010-12-19,U023515,199.164.231.161,grp5bpc6iz.com,NORMAL,Queued,R012698,Database,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1077,256083451,2018-06-20,U073946,194.196.173.90,l82e1pxq2vs.com,CRITICAL,Failed,R066654,User,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1078,672514896,2020-09-06,U056184,90.39.84.219,t6xtrijgkofer.com,NORMAL,Pending,R082069,User,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1011,995729291,2023-05-12,U090547,160.239.139.224,z3g9zvtd.com,NORMAL,Completed Successfully,R098130,Security System,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1054,976127879,2017-01-07,U051352,200.231.32.37,zgghp07hml.com,NORMAL,In Progress,R066575,System,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1093,615775758,2019-07-01,U060325,102.210.42.50,ce1io1sfmcoj4cu.com,NORMAL,In Progress,R002740,User,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1008,405552995,2012-08-19,U099017,170.191.205.249,bmembb4ht.com,NORMAL,In Progress,R097607,External Service,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1024,235314927,2021-10-15,U091242,54.226.87.206,q4aq5s7l305997t.com,INFO,In Progress,R033167,Security System,Virus Detection,Records instances where a virus or malware is detected by the system's antivirus software.
1089,966975390,2020-10-13,U043093,234.218.24.46,ie1nlw852mcs3.com,INFO,Completed Successfully,R088242,User,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1090,222338084,2020-05-05,U036499,63.72.216.231,vq0mqnv17n1b.com,NORMAL,Pending,R004442,Network,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1084,438091720,2015-07-12,U049050,45.172.67.73,qnivxa1b8t4.com,NORMAL,In Progress,R047181,Scheduler,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1012,507386008,2020-03-19,U075952,215.217.232.39,bvdjy974e42.com,NORMAL,Queued,R077655,Error Handler,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1044,864016664,2024-01-18,U055926,81.83.220.235,2e4lquelm888.com,WARNING,Failed,R042223,Application,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1019,970376931,2022-04-27,U085186,8.180.115.222,sz4mgrvowo4.com,NORMAL,In Progress,R017051,User,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1092,374244904,2021-11-17,U007178,215.114.244.140,4dx2gwa7dyaqubx.com,DEBUG,Timed Out,R009896,Database,Security Patch Application,Tracks the application of security patches to the system or software.
1071,652519287,2012-09-18,U053709,106.124.45.234,w17e8aayzaf.com,NORMAL,Queued,R061554,Security System,Security Policy Update,Logs updates or changes to security policies within the system.
1086,685790687,2012-09-22,U044971,169.185.241.232,vp5szvffesvul7s.com,WARNING,Cancelled,R083365,User,Virus Detection,Records instances where a virus or malware is detected by the system's antivirus software.
1028,231714767,2015-06-13,U088376,188.67.119.144,2z433vzsgm.com,ERROR,Failed,R097727,User,Virus Detection,Records instances where a virus or malware is detected by the system's antivirus software.
1040,206780668,2013-06-30,U032060,77.29.200.97,c89qad1rt86qp.com,CRITICAL,Failed,R048514,User,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1068,700956105,2021-12-19,U012974,221.238.46.253,nacyfq1rlux9.com,NORMAL,Completed Successfully,R083399,System,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1010,173318167,2010-03-13,U005626,157.145.176.115,kkv4gkhy.com,NORMAL,In Progress,R030616,System,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1042,130065870,2020-08-16,U070634,10.76.171.218,awypr4phwis.com,NORMAL,In Progress,R047023,Application,Security Patch Application,Tracks the application of security patches to the system or software.
1060,214295154,2016-07-02,U045708,184.54.57.20,jgrcle7c.com,ERROR,Cancelled,R089633,Security System,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1088,422493306,2016-09-17,U080896,215.239.132.30,0mqrsrr5.com,DEBUG,Timed Out,R028153,User,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1031,772982164,2021-11-16,U083098,62.127.35.78,ecznco6e59.com,NORMAL,In Progress,R023819,Security System,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1081,620476606,2022-08-20,U097905,52.25.49.180,cnj76mmrs.com,CRITICAL,Timed Out,R002950,Device,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1046,599928727,2018-09-04,U087223,238.1.71.116,n7vbviilj.com,NORMAL,Queued,R053844,Application,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1034,368682518,2022-07-20,U059805,191.112.86.111,tcuvd3nqft3og.com,NORMAL,Pending,R069390,System,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
